partner,value,share,year
United States,21714773,0.21,2015
Brazil,19463528,0.19,2015
Australia,5298413,0.05,2015
Argentina,4997406,0.05,2015
Canada,4863416,0.05,2015
Indonesia,4228741,0.04,2015
Thailand,4208030,0.04,2015
New Zealand,3787617,0.04,2015
France,3459262,0.03,2015
Malaysia,2517150,0.02,2015
United States,21576570,0.22,2016
Brazil,18854752,0.19,2016
Canada,5003643,0.05,2016
Australia,4128595,0.04,2016
Argentina,4112250,0.04,2016
New Zealand,4025723,0.04,2016
Indonesia,3949907,0.04,2016
Thailand,3551685,0.04,2016
France,2823768,0.03,2016
Vietnam,2592353,0.03,2016
Brazil,23881051,0.21,2017
United States,21653666,0.19,2017
Canada,6330650,0.06,2017
Australia,5914448,0.05,2017
New Zealand,5538549,0.05,2017
Indonesia,5149677,0.05,2017
Thailand,3940260,0.03,2017
Argentina,3547950,0.03,2017
France,3450050,0.03,2017
Vietnam,2623260,0.02,2017
Brazil,32508167,0.26,2018
United States,13639633,0.11,2018
Canada,7656836,0.06,2018
Australia,6770792,0.06,2018
New Zealand,6575377,0.05,2018
Indonesia,5431767,0.04,2018
Thailand,4763143,0.04,2018
France,3728290,0.03,2018
Russian Federation,3171280,0.03,2018
Vietnam,3021541,0.02,2018
Brazil,28433953,0.21,2019
United States,12366264,0.09,2019
New Zealand,8357400,0.06,2019
Australia,8158602,0.06,2019
Canada,7020686,0.05,2019
Argentina,6477410,0.05,2019
Indonesia,6050246,0.04,2019
Thailand,6045116,0.04,2019
France,3838661,0.03,2019
Russian Federation,3551748,0.03,2019
Brazil,34092261,0.21,2020
United States,21077510,0.13,2020
New Zealand,8439868,0.05,2020
Australia,7725935,0.05,2020
Canada,7098223,0.04,2020
Thailand,6877814,0.04,2020
Indonesia,6239152,0.04,2020
Argentina,6189503,0.04,2020
France,4542931,0.03,2020
Russian Federation,4057656,0.03,2020
Brazil,43799338,0.21,2021
United States,35406978,0.17,2021
New Zealand,10605971,0.05,2021
Thailand,10368824,0.05,2021
Indonesia,10238535,0.05,2021
Canada,8584894,0.04,2021
Australia,7020654,0.03,2021
Argentina,6351749,0.03,2021
France,6273770,0.03,2021
Ukraine,5215838,0.03,2021
Brazil,50607150,0.23,2022
United States,37359080,0.17,2022
Indonesia,12063742,0.05,2022
New Zealand,11024582,0.05,2022
Thailand,11023398,0.05,2022
Australia,9121361,0.04,2022
Argentina,7574905,0.03,2022
Canada,7452550,0.03,2022
Russian Federation,6065758,0.03,2022
Vietnam,5059093,0.02,2022
